DISTRICT;NEIGHBORHOOD;LATITUDE;LONGITUDE
Ciutat Vella;el Raval;41,379364;2,16957
Ciutat Vella;el Barri Gotic;41,382478;2,176178
Ciutat Vella;la Barceloneta;41,379428;2,189968
Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;41,38614;2,183532
Eixample;el Fort Pienc;41,397656;2,182126
Eixample;la Sagrada Familia;41,405244;2,176493
Eixample;la Dreta de l'Eixample;41,393353;2,168599
Eixample;l'Antiga Esquerra de l'Eixample;41,389745;2,15523
Eixample;la Nova Esquerra de l'Eixample;41,383503;2,148826
Eixample;Sant Antoni;41,377763;2,159735
